# Freq(Hz) Mag(ohms) Phase(deg)
3.97097097097097e+02 -2.10942932019502e+01 -8.89656567705410e+01
3.98048048048048e+02 -2.11150631296329e+01 -8.89681274319026e+01
3.98998998998999e+02 -2.11357835239402e+01 -8.89705863194055e+01
3.99949949949950e+02 -2.11564546205052e+01 -8.89730335170045e+01
4.00900900900901e+02 -2.11770766532842e+01 -8.89754691078580e+01
4.01851851851852e+02 -2.11976498545723e+01 -8.89778931743379e+01
4.02802802802803e+02 -2.12181744550193e+01 -8.89803057980382e+01
4.03753753753754e+02 -2.12386506836450e+01 -8.89827070597848e+01
4.04704704704705e+02 -2.12590787678547e+01 -8.89850970396442e+01
4.05655655655656e+02 -2.12794589334544e+01 -8.89874758169323e+01
4.06606606606607e+02 -2.12997914046656e+01 -8.89898434702233e+01
4.07557557557558e+02 -2.13200764041399e+01 -8.89922000773585e+01
4.08508508508508e+02 -2.13403141529740e+01 -8.89945457154546e+01
4.09459459459459e+02 -2.13605048707241e+01 -8.89968804609122e+01
4.10410410410410e+02 -2.13806487754199e+01 -8.89992043894241e+01
4.11361361361361e+02 -2.14007460835788e+01 -8.90015175759833e+01
4.12312312312312e+02 -2.14207970102201e+01 -8.90038200948915e+01
4.13263263263263e+02 -2.14408017688785e+01 -8.90061120197665e+01
4.14214214214214e+02 -2.14607605716179e+01 -8.90083934235506e+01
4.15165165165165e+02 -2.14806736290446e+01 -8.90106643785179e+01
4.16116116116116e+02 -2.15005411503212e+01 -8.90129249562819e+01
4.17067067067067e+02 -2.15203633431790e+01 -8.90151752278037e+01
4.18018018018018e+02 -2.15401404139318e+01 -8.90174152633984e+01
4.18968968968969e+02 -2.15598725674881e+01 -8.90196451327432e+01
4.19919919919920e+02 -2.15795600073641e+01 -8.90218649048846e+01
4.20870870870871e+02 -2.15992029356966e+01 -8.90240746482449e+01
4.21821821821822e+02 -2.16188015532549e+01 -8.90262744306299e+01
4.22772772772773e+02 -2.16383560594533e+01 -8.90284643192353e+01
4.23723723723724e+02 -2.16578666523635e+01 -8.90306443806542e+01
4.24674674674675e+02 -2.16773335287262e+01 -8.90328146808831e+01
